#	System	Mc	Mtot	M1	M2	Pspin	Porb	e	tmerge	Ref	Year
1	PSR B1913+16	1,2312	2,828	1,44	1,389	59	0,323	0,617	108	a	1975
2	PSR B2127+11C*	1,1805	2,713	1,358	1,354	30,5	0,335	0,681	97	b	1988
3	PSR B1534+12	1,1661	2,678	1,333	1,346	37,9	0,421	0,274	248	c-d	1991
4	PSR J1518+4904	nan	2,718	nan	nan	40,9	8,634	0,249	inf	e-f	1997
5	PSR J1811-1736	nan	2,57	nan	nan	104,2	18,779	0,828	inf	g-h	2001
6	PSR J0737-3039	1,1253	2,587	1,338	1,249	22,7	0,102	0,088	204	i-j	2003
7	PSR J1829+2456	nan	2,59	nan	nan	41	1,176	0,139	inf	k	2004
8	PSR J1756-2251	1,1178	2,571	1,341	1,23	28,5	0,32	0,181	443	l	2005
9	PSR J1930-1852	nan	2,59	nan	nan	185,5	45,06	0,399	inf	m	2012
10	PSR J0453+1559?	1,1754	2,734	1,559	1,174	45,8	4,072	0,113	inf	n	2015
11	PSR J1913+1102	1,2468	2,8887	1,62	1,27	27,28	0,206	0,09	2687	o	2016
12	GW170817 	1,188	2,73-3,29	1,36-2,26	0,86-1,36	nan	nan	nan	nan	p	2017
13	PSR J1411+2551	nan	2,538	nan	nan	62,4	2,616	0,1699	inf	q	2017
14	PSR J1757-1854	1,1893	2,733	1,338	1,395	21,5	0,183	0,606	76, 130	r	2018
15	PSR J0509+3801	1,2174	2,81	1,34	1,46	76,5	0,38	0,586	153	t	2018
16	PSR J1946+2052	1,0882	2,5	1,25	1,25	17	0,078	0,06	46	u-v	2018
17	GW190425 	1,44	3,4	1,60-2,52	1,12-1,69	nan	nan	nan	nan	w	2019
